Item name,Actual,Expected,Difference
OFIA HUIQUIN,9,11,
BLUETOOTH HEADSET,3,6,
BLUETOOTH SMALL,2,3,
"	RXD EARPHONES",0,5,
"	DR.LEE EARPHONES",0,4,
"	OFIA ORDINARY",0,-6,
AKG SMALL PACK,7,8,
AMAYA EARPHONES,2,3,
"	OTG TYPE C",1,2,
HP 2GB FLASH,2,0,
HP 4GB FLASH,0,1,
SANDISK 4GB FLASH,2,0,
BOOST 8GB MEM,2,3,
"	SANDISK 8GB FLASH",0,1,
"	SANDISK 16 GB FLASH",0,2,
HP 64 GB FLASH,0,5,
TOSHIBA 64 GB,1,0,
SANDISK 64GB FLASH,7,5,
KENTO _ G SOLDERING ROD,2,3,
NEELUX ROTATING BULB,2,3,
DP 9W BULB,3,6,
"	DP 18W",1,2,
"	TRAVEL ADAPTER",7,9,
AAA TOCEBAL,65,86,
"	AA TOCEBAL",88,49,
AA EVEREADY,3,5,
GETTOP,13,14,
DOUBLE SOCKET (RP ROYAL),1,2,
"	HTG SINGLE SOC",6,10,
HTG DOUBLE SOCKET,5,6,
ONE GAN SWITCH,0,1,
TWO GAN SWITCH,9,10,
TWIN PATRESS,7,8,
TRICIRCLE 262 PADLOCK,4,5,
TRICIRCLE 265 PADLOCK,4,6,
"	MINDY 40MM PADLOCK",2,3,
"	MINDY 40MM PADLOCK",0,1,
"	MINDY 60MM PADLOCK",0,2,
ROLINSON 40MM PADLOCK,2,3,
STELLAR 50MM PADLOCK,1,2,
AUDDY 60MM PADLOCK,2,3,
"	RICHDOOR 45MM PADLOCK",0,1,
"	STAR X 65MM PADLOCK",2,3,
FEMALE AERIAL CONNECTOR,21,25,
"	MALE AERIAL JACKS",21,25,
"	PLASTICS AERIAL JACKS",19,24,
FUSE,13,15,
"	COAXIAL CABLE (BIG)",31,75,
"	RECHARGABLE 30W",3,2,
GLOBE TAPE,7,9,
"	SUNUP TAPE",23,24,
"	14-42 TV MOUNT",0,1,
RILL SUPER GLUE,4,5,
"	LIUGU SUPER GLUE",4,9,
MONDIAL BOX 6KG REGULATOR,0,1,
"	13KG REGULATOR",3,2,
"	ORGAS BURNER",2,1,
"	PREMIUM OR GAS BURNER",2,3,
"	HADE GAS BURNER",0,1,
AVC SCREWBULB,7,6,
RADIO CORD,4,5,
12.5M COOKING GAS PIPE,6,7,
8600 TRAVEL/VD CHARGER ADAPTER,0,2,
"	HOT SALE CHARGER (COPY)",20,24,
"	ORAIMO ORIGINAL CHARGER",1,2,
CASIM TYPE-C CHARGER,1,2,
"	INPODS IL3/114/116",2,4,
I15 INPODS,1,-1,
"	AMAYA CABLE POLLYTHENE",2,3,
DEPAK CABLE MICRO,0,-1,
CA 101 TYPE C CABLE,8,9,
"	POWER 3.0 5G CABLE MICRO",4,3,
"	ORAIMO BOX ANDROID",2,3,
RECRESI ANDROID,0,4,
DEPAK TYPE C,0,2,
ANSTY TYPE C,2,5,
MILLION TYPE C,5,7,
TYPE C TO TYPE C,0,1,
"	3PIN ADAPTER 5V/1A",1,0,
"	JACK TO JACK 1.5M",4,5,
JACK TO JACK MEDIUM,5,6,
JACK TO JACK SHORT,8,10,
GAME PAD,3,4,
RED AND BLACK SPEAKER CABLE,15,44,
GREEN AND WHITE SPEAKER CABLE,6,45,
"	ICE POP",129,243,
AVC 5W,10,9,
2 BY 1 RCA CABLE (SHINNY),1,5,
2 BY 1 RCA BLUE,3,5,
WATCH BATTERY SMALL(1.55V),8,9,
REMOTE BATTERY (CR2025),3,5,
"	RECHEARGABLE MOUSE",1,2,
3D SCREEN PROTECTOR,62,72,
NORMAL SCREEN PROTECTOR,74,121,
"	GOLD COVER",17,19,
SOFT SILICON COVER,23,21,
HARD SILICON,21,45,
FLOWER / GLITTER COVER,53,62,
"	HARD CASE PHONE COVER",8,9,
"	LEATHER LIKE COVER",5,10,
"	PLASTIC COVER",24,27,
TOP NEXUS PLUG,5,10,
"	REGRESSI MICRO CABLE",,,
X-BASS,0,1,
P47 HEADPHONES,0,4,
"	SONY 450BT",1,2,
ITEL CABLE,2,-13,
"	YBS EARPHONES ",1,6,
HANGING HOLDER,0,1,
"	BLACK EXTENSION",5,7,
POWER KING 4 WAY,5,6,
"	VOLTAGE TESTER (SMALL)",7,3,
RP ROYAL PLUG,0,3,
RJ 45,69,84,
"	GMA ORIGINAL",5,4,
"	3 BY 3 RCA",2,5,
"	BLACK HEATER",2,4,
AMAYA POWER BANK 20000MAh,1,2,
DP INTELLIGENT 7W,3,4,
3-PIN RADIO CABLE,4,5,
"	SMALL OTG MICRO",1,2,
"	SMALL OTG TYPE C",5,7,
"	HP BIG LAPTOP CHARGER",2,3,
LENOVO BIG LAPTOP CHARGER,1,0,
R15 BLUETOOTH SPEAKER,2,3,
"	POWER KING WITH SWITCH (4-WAY",3,4,
"	SURGE STABILIZER 4-WAY EXTENSION",0,1,
MAKEL 2-WAY EXTENSION,1,2,
BAB-ASTRA 4-WAY EXTENSION,8,9,
"	PBSROYALTY BULB HOLDER",2,6,
"	HIGH SPEND BULB HOLER",7,8,
"	CAMBIY SITCH MULTIPLUG",5,6,
BLACK TOP PLUG,11,12,
DUAL USB CHARGER 18W,1,2,
ORAIMO TYPE C CABLE,6,5,
"	YELLOW SOLDERING GUN",0,2,
"	SOLDERING IRON (MEASURED 0.5 M)",0,12,
"	SAMSUNG NOTE4 CHARGER HEAD",0,1,
"	2-PIN ADAPTOR TYPE-C",1,4,
"	ITEL IT2163 PHONE",1,2,
SUNELAN S8 PHONE,6,7,
BONTEL L1100 PHONE,1,2,
BONTEL L200 PHONE,1,0,
OKING 0K135 PHONE,1,0,
3A TYPE C CABLE,1,0,
GO TV AERIAL JACK,9,10,
SLIM DIGITAL WATCH,1,2,
HUIGIN METALLIC BAND WATCH,0,1,
"	DOLL WATCH",0,2,
"	HUIGIN RUBBER BAND WATCH",2,3,
BIG SCREEN DIGITAL WATCH,1,2,
"	ICE CONE",400,98,
"	VOLTAGE TESTER (BIG)",6,8,
AMAYA CHARGER HEAD,1,2,
"	PUNEX CABLE MICRO",7,8,
"	ITEL INPODS",0,-1,
ORAIMO PLAIN CHARGER,1,2,
"	SHUER HEADPHONES",1,2,
"	INTELLIGENT WATER DISPENSER",1,2,
ITEL 2A CABLE,2,19,
"	SNAKE LIGHT ADAPTER",9,14,
"	CELLO TAPE (SMALL)",5,7,
CELLO TAPE (BIG),0,1,
"	KK C11 (MICRO) CABLE",4,5,
FLAMINGO CABLE (MICRO),6,5,
6A MICRO CABLE,0,3,
"	MASKING TAPE (THIN)",6,7,
MASKING TAPE (THICK),7,8,
SONAR DECODER,2,1,
"	STARTIMES DECODER",1,0,
"	GO TV DECODER",1,0,
"	45W TYPE C CHARGER",0,1,
SINGLE PATRESS,5,10,
"	SNAKE LIGHT 5M",0,1,
	SIMBA STICK,0,114,